School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
1010,83.8,1155,177,232,91.94,1.7,4.3,1.36,0.66,0,85.9,JOHN BARTRAM HIGH SCHOOL,"BARTRAM, JOHN HIGH",2401 S. 67TH ST.,19142,NA,PHILADELPHIA,PA,2154926450,9,12,,HIGH SCHOOL,10,1,31,10.5,3.25,176.25,137,28.25,5.25,5.75,93.95,21.08,0.82,8.96,72345.825
1020,80.62,854.4,146,180.8,97.5,0.56,0.62,0.78,0.52,0,87.7,WEST PHILADELPHIA HIGH SCHOOL,WEST PHILADELPHIA HIGH SCHOOL,4901 CHESTNUT ST.,19139,NA,PHILADELPHIA,PA,2154712902,9,12,www.philasd.org/schools/westphila,HIGH SCHOOL,5.75,0.5,25,4.75,3,249.5,150,58.5,24,17,92.75,20.06,0.68,2.18,63536.71429
1030,89.82,419,8.8,38.4,90.32,3.56,1.14,4.3,0.74,0,85.88,HIGH SCHOOL OF THE FUTURE,HIGH SCHOOL OF THE FUTURE,4021 PARKSIDE AVE.,19104,NA,PHILADELPHIA,PA,2158235502,9,12,www.philasd.org/schools/hsof,HIGH SCHOOL,0.75,0.75,14.25,1,6,80.75,59.5,15.25,4.5,1.5,95.45,13.54,2.88,1.6,63622.82759
1050,91.48,285.6,5.8,13.4,96.42,0.24,0.06,2.12,1.16,0,79.64,PAUL ROBESON HIGH SCHOOL,"ROBESON, PAUL HIGH SCHOOL",4125 LUDLOW ST.,19104,NA,PHILADELPHIA,PA,2158238207,9,12,www.philasd.org/schools/robeson,HIGH SCHOOL,0.25,0.5,4,0,1.25,38.5,27.5,7.75,2.5,0.75,93.35,12.34,2.44,0.54,70837.13333
1100,80.52,610.6,99,110.2,97.78,0.84,0,1.2,0.2,0,88.06,SAYRE HIGH SCHOOL,"SAYRE, WILLIAM L. HIGH SCHOOL",5800 WALNUT ST.,19139,NA,PHILADELPHIA,PA,2154712904,9,12,www.philasd.org/schools/sayre,HIGH SCHOOL,4.5,0.25,30,6,1.75,200.25,123.25,44.75,20,12.25,91.925,19.68,0.86,0.48,68200.08696
1130,91.82,396,42,48,93.34,2.06,2.72,1.62,0.24,0,90.4,TILDEN MIDDLE SCHOOL,TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE.,19142,NA,PHILADELPHIA,PA,2154926454,6,8,,MIDDLE SCHOOL,1.25,1,10,2,0.75,73.25,44.5,13.75,5.25,9.75,92.675,20.68,0.64,5.28,66970.03448
1190,95.86,221.2,4.8,8.6,87.5,1.16,8.1,1.62,1.32,0,71.84,MOTIVATION HIGH SCHOOL,MOTIVATION HIGH SCHOOL,2555 S. 78TH ST.,19153,NA,PHILADELPHIA,PA,2154926451,9,12,www.philasd.org/schools/motivation,HIGH SCHOOL,0.5,0,2,0.25,0.5,10.5,9.25,1.25,0,0,95.7,7.36,3.08,4.28,65579.69231
1200,91.66,764.4,144.6,92.8,95.96,0.58,0.24,1.48,1.74,0,92.98,JOHN BARRY ELEMENTARY SCHOOL,"BARRY, JOHN ELEMENTARY SCHOOL",5900 RACE ST.,19139,NA,PHILADELPHIA,PA,2154712744,0,8,,ELEMENTARY SCHOOL,1,1.5,32.75,2.75,1,155.25,105.5,27.5,15,7.25,92.625,8.26,0.36,0.1,64675.92105
1230,91.12,508.2,78.6,75.4,95.28,1.22,0.46,1.24,1.62,0,90.84,BRYANT ACADEMICS PLUS SCHOOL,"BRYANT, WILLIAM C. SCHOOL",6001 CEDAR AVE.,19143,NA,PHILADELPHIA,PA,2154712910,0,8,www.philasd.org/schools/bryant,ELEMENTARY SCHOOL,0.25,0.75,22.25,2.25,0.25,67.25,47,11.5,5.25,3.5,91.4,11.24,0.4,0.64,59726.74074
1250,93.84,595.2,82.2,59.4,79.6,1.82,13.36,1.74,3.44,0,89.74,J. W. CATHARINE SCHOOL,"CATHARINE, JOSEPH SCHOOL",6600 CHESTER AVE.,19142,NA,PHILADELPHIA,PA,2157272155,0,5,,ELEMENTARY SCHOOL,0,0.75,5,1.5,0.5,24.75,19.75,2,1.5,1.5,94.9,11.2,0,12.1,70836.96667
